q_id,q_status,q_date,q_year,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,prop_year,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
AE2-022,active,12/15/2018,2018,,,,PJM,Atlantic Shores Offshore Wind Project 1,,AEC,atlantic,,,NJ,PJM,Capacity,Cardiff 230 kV III,8/31/2029,2029,IA Executed,IA Executed,Offshore Wind,Offshore Wind,,,300,,
W4-067,withdrawn,1/31/2011,2011,,8/23/2011,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Vernon 12kV,12/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,8,,
W3-131,withdrawn,10/29/2010,2010,,12/21/2010,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Alpha #2 34.5kV,11/1/2011,2011,Withdrawn,Withdrawn,Solar,Solar,,,8,,
J02,withdrawn,9/9/2002,2002,,,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Hudson 230kV,12/1/2005,2005,Feasibility Study,Feasibility Study,Gas,Gas,,,15,,
X3-083,withdrawn,10/31/2011,2011,,4/29/2016,,PJM,Andover Solar Farm,,JCPL,sussex,,,NJ,PJM,Capacity,Andover-Kittatinny 34kV,12/31/2015,2015,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AG1-263,withdrawn,9/28/2020,2020,,9/11/2023,,PJM,,,PSEG,camden,,,NJ,PJM,Capacity,Gloucester 230 kV,10/31/2021,2021,System Impact Study,System Impact Study,Battery,Battery,,,20,,
AC1-029,withdrawn,7/29/2016,2016,,11/27/2019,,PJM,Gateway Energy Center,,JCPL,middlesex,,,NJ,PJM,Capacity,South River 230kV,5/16/2019,2019,IA Executed,IA Executed,Gas,Gas,,,20,,
AC1-202,withdrawn,10/31/2016,2016,,11/12/2018,,PJM,The Home Depot Store #0951,,AEC,ocean,,,NJ,PJM,Energy,Cedar 12kV,12/31/2018,2018,System Impact Study,System Impact Study,Gas,Gas,,,0,,
B17,withdrawn,7/17/1999,1999,,1/26/2021,,PJM,Statoil,,JCPL,monmouth,,,NJ,PJM,Energy,Jerseyville 34.5kV,1/1/1999,1999,IA Executed,IA Executed,Gas,Gas,,,2,,
W2-031,withdrawn,6/10/2010,2010,,9/13/2011,,PJM,,,PSEG,gloucester,,,NJ,PJM,Capacity,Gloucester 26kV,12/31/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,9,,
AD1-005,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,Jackson Road 480V,,PSEG,passaic,,,NJ,PJM,Energy,Jackson Rd 480 v,1/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
AI1-046,active,5/25/2022,2022,,,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Smithburg 500 kV,12/31/2031,2031,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,1600,,
AE2-028,withdrawn,12/24/2018,2018,,6/7/2023,,PJM,State Route 57 Solar,,JCPL,warren,,,NJ,PJM,Capacity,Broadway 12.47 kV,6/15/2021,2021,System Impact Study,System Impact Study,Solar,Solar,,,1,,
AG2-421,active,3/31/2021,2021,,,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,High Street 12.47 kV,12/31/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,1,,
W3-084,withdrawn,10/15/2010,2010,,12/3/2010,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Clinton-Round Valley 34.5kV,12/1/2011,2011,Withdrawn,Withdrawn,Solar,Solar,,,17,,
W3-140,withdrawn,10/29/2010,2010,,3/17/2015,,PJM,Roy Road Solar Farm,,JCPL,warren,,,NJ,PJM,Capacity,Sussex #2,9/1/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,8,,
AG2-228,active,3/12/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Pequest River-Washington 34.5 kV,3/31/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,11,,
AC1-203,withdrawn,10/31/2016,2016,,12/3/2018,,PJM,Camden 480v III,,PSEG,camden,,,NJ,PJM,Energy,Camden 480v III,12/29/2017,2017,System Impact Study,System Impact Study,Gas,Gas,,,0,,
AC1-090,withdrawn,10/17/2016,2016,,7/17/2017,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Hamilton Township 12kV,10/1/2017,2017,Feasibility Study,Feasibility Study,Solar,Solar,,,4,,
X3-010,withdrawn,8/15/2011,2011,,3/9/2012,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Franklin #1,8/30/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
AG1-062,active,7/30/2020,2020,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Flanders-Pohatcong Mountain 34.5 kV,4/8/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,15,,
O63,withdrawn,7/29/2005,2005,,3/7/2006,,PJM,,,PSEG,union,,,NJ,PJM,Capacity,Linden 230kV,6/1/2009,2009,Feasibility Study,Feasibility Study,Gas,Gas,,,525,,
W3-142,withdrawn,10/29/2010,2010,,7/25/2011,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Lopatcong,3/31/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,18,,
Z1-109,withdrawn,10/31/2013,2013,,3/16/2016,,PJM,,,PSEG,union,,,NJ,PJM,Capacity,Tosco-VFT 230kV,6/30/2016,2016,Facility Study,Facility Study,Gas,Gas,,,208,,
W4-026,withdrawn,12/14/2010,2010,,11/28/2011,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Baptistown-Frenchtown 34.5kV,5/31/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,10,,
X2-024,withdrawn,5/31/2011,2011,,1/11/2012,,PJM,,,AEC,salem,,,NJ,PJM,Energy,Lower Alloways Creek 12kV,11/1/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,2,,
AD1-007,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,Bergenfield 480V,,PSEG,bergen,,,NJ,PJM,Energy,Bergenfield 480 v,1/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
AG1-129,withdrawn,8/31/2020,2020,,10/1/2021,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,US Silica - Unimin 69 kV,6/1/2022,2022,System Impact Study,System Impact Study,Solar,Solar,,,51,,
AE1-229,active,9/17/2018,2018,,,,PJM,Pilesgrove Solar Project,,AEC,salem,,,NJ,PJM,Capacity,Deepwater-Upper Pittsgrove 138 kV,12/31/2026,2026,IA Executed,IA Executed,Solar,Solar,,,149,,
Y1-025,withdrawn,2/29/2012,2012,,6/4/2013,,PJM,,,JCPL,middlesex,,,NJ,PJM,Capacity,Raritan River 230kV,5/15/2015,2015,System Impact Study,System Impact Study,Gas,Gas,,,785,,
U2-005,withdrawn,5/14/2008,2008,,12/1/2008,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Branchburg-Deans 500kV,6/1/2014,2014,Feasibility Study,Feasibility Study,Gas,Gas,,,1010,,
W3-151,withdrawn,10/29/2010,2010,,3/16/2011,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Phillipsburg 34.5kV,3/15/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,16,,
AG1-254,active,9/25/2020,2020,,,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Salem-Woodstown 69 kV,12/31/2023,2023,System Impact Study,System Impact Study,Solar+Battery,Solar,Battery,,38,,
O13,withdrawn,4/1/2005,2005,,3/7/2006,,PJM,,,PSEG,union,,,NJ,PJM,Energy,Linden - Harbor Cable II,2/1/2008,2008,Feasibility Study,Feasibility Study,Unknown,Unknown,,,0,,
U1-029,withdrawn,2/19/2008,2008,,7/21/2009,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Sherman Ave 138kV,5/1/2012,2012,System Impact Study,System Impact Study,Other,Oil,,,110,,
W3-143,withdrawn,10/29/2010,2010,,2/3/2012,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Knowlton #2,3/1/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,5,,
AB2-091,withdrawn,4/26/2016,2016,,4/21/2017,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Hudson 230kV,5/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,105,,
Y2-110,withdrawn,11/2/2012,2012,,3/7/2016,,PJM,,,AEC,cape may,,,NJ,PJM,Capacity,BL England 138kV,1/1/2016,2016,System Impact Study,System Impact Study,Gas,Gas,,,40,,
W1-022,withdrawn,2/24/2010,2010,,7/30/2013,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Fairton 69kV II,7/1/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
V4-043,withdrawn,12/24/2009,2009,,10/27/2010,,PJM,Stewartstown Generating Facility,,AEC,salem,,,NJ,PJM,Capacity,Shirley 12kV,12/1/2010,2010,System Impact Study,System Impact Study,Solar,Solar,,,8,,
W2-041,withdrawn,6/29/2010,2010,,8/2/2010,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Egg Harbor Township,3/1/2011,2011,Withdrawn,Withdrawn,Solar,Solar,,,3,,
W1-093,withdrawn,4/29/2010,2010,,1/13/2011,,PJM,,,AEC,cape may,,,NJ,PJM,Capacity,Cape May 12kV,7/21/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
X2-068,withdrawn,7/19/2011,2011,,11/30/2011,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Lopatcong,5/31/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
W3-039,withdrawn,8/31/2010,2010,,6/3/2013,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Bayonne 26kV,10/10/2012,2012,System Impact Study,System Impact Study,Wind,Wind,,,20,,
Y1-001,withdrawn,2/3/2012,2012,,12/18/2019,,PJM,B.L. England Station,,AEC,cape may,,,NJ,PJM,Capacity,BL England 138kV,6/1/2021,2021,IA Executed,IA Executed,Gas,Gas,,,452,,
W4-080,withdrawn,1/31/2011,2011,,2/4/2016,,PJM,IRL Landfill Solar Project,,PSEG,middlesex,,,NJ,PJM,Capacity,Metuchen 26.4kV,11/30/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,20,,
U1-065,withdrawn,4/7/2008,2008,,7/28/2009,,PJM,,,AEC,cape may,,,NJ,PJM,Capacity,Middle 69kV,5/1/2009,2009,System Impact Study,System Impact Study,Other,Oil,,,20,,
W2-034,withdrawn,6/16/2010,2010,,2/2/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Cohansey Road,9/1/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,20,,
AE2-102,withdrawn,2/28/2019,2019,,4/4/2019,,PJM,,,PSEG,burlington,,,NJ,PJM,Energy,Columbus 13 kV,3/2/2020,2020,Withdrawn,Withdrawn,Solar+Battery,Solar,Battery,,5,,
AE2-068,withdrawn,2/12/2019,2019,,4/30/2019,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Second Street12 kV,6/1/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,5,,
V3-038,withdrawn,9/16/2009,2009,,1/10/2013,,PJM,Turnpike SP,,PSEG,hudson,,,NJ,PJM,Capacity,Turnpike 13kV,12/31/2010,2010,System Impact Study,System Impact Study,Solar,Solar,,,1,,
AE1-179,active,9/25/2018,2018,,,,PJM,Buckshutem Solar I,,AEC,cumberland,,,NJ,PJM,Capacity,South Millville-Newport 69 kV,1/31/2027,2027,IA Executed,IA Executed,Solar,Solar,,,60,,
AE1-037,withdrawn,6/18/2018,2018,,1/24/2020,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Deans 500kV,12/31/2025,2025,Feasibility Study,Feasibility Study,Wind,Wind,,,0,,
AB2-119,withdrawn,4/28/2016,2016,,5/24/2017,,PJM,,,AEC,cape may,,,NJ,PJM,Capacity,Middle Township 12kV,12/1/2017,2017,System Impact Study,System Impact Study,Solar,Solar,,,2,,
AE2-086,withdrawn,2/22/2019,2019,,4/3/2019,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Reeder Road Solar 12.47 kV,3/2/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,4,,
W4-062,withdrawn,1/31/2011,2011,,11/29/2011,,PJM,,,AEC,burlington,,,NJ,PJM,Capacity,Tabernacle 69kV,12/31/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,18,,
V2-005,withdrawn,5/15/2009,2009,,2/17/2010,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Pleasantville 12kV,12/31/2010,2010,System Impact Study,System Impact Study,Other,Methane,,,2,,
W3-148,withdrawn,10/29/2010,2010,,5/25/2011,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Baptistown 12kV,11/15/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,6,,
X1-114,withdrawn,4/29/2011,2011,,5/3/2016,,PJM,Sandyston Solar Farm,,JCPL,sussex,,,NJ,PJM,Capacity,Holiday Lakes 12kV,12/31/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,2,,
Y3-047,withdrawn,2/28/2013,2013,,7/22/2014,,PJM,,,PSEG,essex,,,NJ,PJM,Capacity,Essex,5/31/2013,2013,System Impact Study,System Impact Study,Gas,Gas,,,10,,
AA1-097,withdrawn,10/30/2014,2014,,4/14/2015,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Oyster Creek 230kV,6/1/2018,2018,Feasibility Study,Feasibility Study,Gas,Gas,,,100,,
L12,withdrawn,12/4/2003,2003,,8/31/2004,,PJM,,,PSEG,essex,,,NJ,PJM,Capacity,Essex,9/30/2004,2004,System Impact Study,System Impact Study,Gas,Gas,,,6,,
AI2-210,active,3/3/2023,2023,,,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Ringoes-US Bronze 34kV,3/29/2023,2023,In Progress,Feasibility Study,Solar,Solar,,,0,,
AI2-204,active,3/2/2023,2023,,,,PJM,,,PSEG,gloucester,,,NJ,PJM,Capacity,Brokaw 345kV (CIR Increase),4/1/2023,2023,In Progress,Feasibility Study,Solar,Solar,,,0,,
X3-033,withdrawn,8/31/2011,2011,,2/7/2012,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Green,5/1/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,16,,
AE2-096,withdrawn,2/28/2019,2019,,9/4/2019,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,East Flemington-Frenchtown Solar 34.5 kV,3/2/2020,2020,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
W3-163,withdrawn,10/29/2010,2010,,8/15/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Upper Pittsgrove 138kV 1,12/31/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
W1-123,withdrawn,4/30/2010,2010,,9/1/2010,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Mannington Township 1 12kV,6/1/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
X4-043,withdrawn,1/31/2012,2012,,9/19/2012,,PJM,Allerton Road Solar Farm,,JCPL,hunterdon,,,NJ,PJM,Capacity,Clinton,6/30/2015,2015,System Impact Study,System Impact Study,Solar,Solar,,,8,,
AI2-130,active,2/28/2023,2023,,,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Larrabee 230 kV,2/28/2030,2030,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,0,,
AD1-038,withdrawn,7/28/2017,2017,,8/25/2017,,PJM,,,PSEG,burlington,,,NJ,PJM,Energy,Oliver Solar,10/31/2019,2019,Withdrawn,Withdrawn,Solar,Solar,,,0,,
V4-062,withdrawn,1/22/2010,2010,,7/18/2013,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Upper Pittsgrove 6,12/1/2010,2010,System Impact Study,System Impact Study,Solar,Solar,,,3,,
AI2-070,active,2/24/2023,2023,,,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Dorothy - Lewis 138 kV,3/1/2027,2027,In Progress,Feasibility Study,Battery,Battery,,,150,,
AI2-068,active,2/24/2023,2023,,,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Larabee - Atlantic 230 kV,12/31/2026,2026,In Progress,Feasibility Study,Battery,Battery,,,250,,
AI2-052,active,2/17/2023,2023,,,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Lakewood 230 kV II,6/1/2027,2027,In Progress,Feasibility Study,Battery,Battery,,,70,,
W3-059,withdrawn,9/10/2010,2010,,2/24/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Quinton 12kV,12/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
AF2-206,withdrawn,3/24/2020,2020,,9/11/2020,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Larrabee-Point Pleasant 34.5 kV,12/31/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,15,,
W3-136,withdrawn,10/29/2010,2010,,2/15/2012,,PJM,Hibler Solar Farm,,JCPL,sussex,,,NJ,PJM,Capacity,Andover-Kittatinny #2 34.5kV,9/1/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,10,,
X3-007,withdrawn,8/8/2011,2011,,1/28/2015,,PJM,LB Solar,,PSEG,burlington,,,NJ,PJM,Energy,Bustleton 13kV,9/30/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,2,,
AE2-141,withdrawn,3/11/2019,2019,,9/4/2019,,PJM,,,AEC,burlington,,,NJ,PJM,Capacity,Tabernacle 12 kV,6/1/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
AA1-039,withdrawn,8/26/2014,2014,,3/30/2015,,PJM,,,PSEG,bergen,,,NJ,PJM,Energy,Bergen 230kV,6/1/2016,2016,Feasibility Study,Feasibility Study,Unknown,Unknown,,,0,,
AG2-535,active,3/31/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Hackettstown-Pohatcong J738-1 34.5 kV II,8/31/2022,2022,In Progress,Feasibility Study,Battery,Battery,,,20,,
AH2-333,active,3/11/2022,2022,,,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Orchard 230kV,12/31/2025,2025,In Progress,Feasibility Study,Battery,Battery,,,415,,
T98,withdrawn,10/29/2007,2007,,6/2/2009,,PJM,,,RECO,bergen,,,NJ,PJM,Capacity,South Mahwah 69kV,10/29/2007,2007,Withdrawn,Withdrawn,Gas,Gas,,,6,,
AD1-004,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,Paramus 480V,,PSEG,bergen,,,NJ,PJM,Energy,Paramus 480 v,1/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
